En el principio , Dios creó los cielos y la tierra .	Only Paraguayan Guarani (gug) copied here.
El comandante , tomándolo de la mano , y llevándolo aparte , le preguntó : " ¿ Qué es lo que tienes que informarme ? "	Pe mburuvicha ipojái pe mitã póre , ogueraha ha'eñoháme ha oporandu chupe : — Mba'épa erese chéve?
Y el joven respondió : " Los Judíos se han puesto de acuerdo en pedirle que mañana lleve a Pablo al Concilio con el pretexto de hacer una indagación más a fondo sobre él .	Pe mitã he'i chupe : — Israelguáva oñemoĩ peteĩ ñe'ẽme ojerurévo ndéve , reraha haguã ko'ẽrõ Páblope mbojovakehára aty renondépe , ku oporandu porãvétarõ guáicha chupe .
¡ Pero no lo haga ! Hay más de cuarenta hombres escondidos por todo el camino , listos para tenderle una emboscada . Ellos han jurado no comer ni beber nada hasta que lo hayan matado . Ya están listos , solo esperan su consentimiento .	Aníke rerovia chupe kuéra : Oĩ hína hetave 40 kuimba'égui ohape ra'arõva chupe ñemiháme , ha he'i vaekue ojupe ñe'ẽ pohýi reheve ndo karu mo'ãiha ha ndoy'u mo'ãiha ojuka peve Páblope . Ha ágã oĩma hikuái upépe ne ñe'ẽ ra'arõvonte .
El tribuno despidió al joven y le mandó que no dijera nada a nadie del aviso que le había dado .	Upérõ pe mburuvicha omondo upe mitãme , he'ívo chupe ani haguã he'i avavépe omombe'u hague chupe upéva .
Y llamando a dos de los centuriones , dijo : " Preparen 200 soldados para las nueve de la noche , con setenta jinetes y 200 lanceros , para que vayan a Cesarea . "	Pe mburuvicha ohenói mokõi ñorãirõhára ruvichávape ha he'i chupe kuéra ombosako'i haguã 200 ñorãirõhára yvy rupigua , 70 kavaju arigua , ha 200 kyse yvuku reheveguáva , oho haguã Cesaréape pyharéma ramo .
También , provean bestias de carga para que ellos hagan cabalgar a Pablo y lo lleven con seguridad a Félix el gobernador ” .	Ombosako'ika avei kavaju Páblope guarã , ha he'i ogueraha haguã hesãi ha mba'eve ojehu'ỹre chupe , sãmbyhyhára Félixpe .
Y escribió una carta que tenía esta forma :	Hendive kuéra omondo peteĩ kuatiañe'ẽ he'íva :
“ Claudio Lisias al excelentísimo gobernador Félix : ¡ Saludos !	Claudio Lisias , sãmbyhyhára Félix marangatu etépe : Che maitei .
El hombre que te envío fue apresado por los judíos . Cuando estaban a punto de matarlo , intervine militarmente y lo libré , pues tuve conocimiento de que era ciudadano romano .	Israelguáva ipojái vaekue ko kuimba'ére ha ojukátama chupe . Aikuaávo ha'eha peteĩ Romaguáva , aipe'a chupe ipoguýgui kuéra .
Queriendo cerciorarme de la causa por la cual lo acusaban , lo llevé a su Concilio	Aikuaaségui mba'épa pe ombojáva hikuái hese , araha Israel guáva aty renondépe ,
y resultó que lo acusaban de asuntos de la ley de ellos ; pero no había razón para matarlo , y ni siquiera para tenerlo en la cárcel .	ha nipo hembiapoukapy kuéra reheguávante ra'e upe oñembojáva hese , ha ndaipóri mba'érepa ojejuka haguã , térã ojeguereko haguã chupe koty ypytũmente jepe .
Cuando me informaron que se tramaba una conspiración contra este hombre , decidí enviarlo a usted en seguida . También les ordené a sus acusadores que expongan delante de usted los cargos que tengan contra él .	Upéi aikuaa Israelguáva oñemoĩ hague peteĩ ñe'ẽme ojuka haguã chupe . Upévare amondo ndéve . Ha ajerure avei umi hese okaguaívape , he'i haguã ne renondépe upe ombojáva hese .
Los soldados , conforme a las órdenes que tenían , tomaron a Pablo y lo llevaron de noche a Antípatris .	Umi ñorãirõhára , oje'e haguéicha chupe kuéra , ogueraha Páblope pyhare Antípatrispe .
Al día siguiente , los soldados dejaron a los jinetes con él , y regresaron a la fortaleza .	Upe ára ambuépe ñorãirõhára kuéra yvy rupigua ojevy hógape ha kavaju arigua oho hapére Pablo ndive .
Cuando la caballería llegó a Cesarea , le entregaron la carta al gobernador y le presentaron también a Pablo .	Oguahẽvo Cesaréape , ome'ẽ hikuái pe kuatiañe'ẽ sãmbyhyhárape ha omoĩ avei ipópe Páblope .
Después de leer la carta , el gobernador preguntó de dónde era Pablo ; y al saber que era de Cilicia ,	Omoñe'ẽ rire pe kuatia , sãmbyhyhára oporandu moõguápa Pablo , ha oikuaávo Ciliciaguaha ,
— Yo mismo oiré tu caso cuando lleguen los que te acusan — le dijo el gobernador . Luego el gobernador ordenó que lo pusieran en la prisión del cuartel general de Herodes .	he'i chupe : — Rohendúta ou vove umi ne mombe'úva . Upéi he'i oñeñangareko hatã haguã hese Herodes róga guasúpe .
Cinco días después , Ananías , el sumo sacerdote , llegó con algunos de los ancianos judíos y con el abogado Tértulo , para presentar su caso contra Pablo ante el gobernador .	Pa'i guasu Ananías oguahẽ Cesaréape 5 ára haguépe . Hendive ou myakãhárava mbovymi , ha peteĩ poromombe'uha hérava Tértulo . Ko'ãva ou sãmbyhyhára rendápe omoĩ vai haguã Páblope .
Cuando se hizo comparecer al acusado , Tértulo expuso su caso ante Félix : — Excelentísimo Félix , bajo su mandato hemos disfrutado de un largo período de paz , y gracias a la previsión suya se han llevado a cabo reformas en pro de esta nación .	Ojererúvo Pablo , Tértulo oñepyrũ omoĩ vai chupe he'ívo Félixpe : — Nde rehe ae , karai sãmbyhyhára , roguereko py'a guapy , ha ne arandu eterei rupi opa mba'e apópe , heta iporãva ojejapo ore retãme .
nosotros , por todos los medios y en todas partes , reconocemos esto con profunda gratitud , oh excelentísimo Félix .	Opa ko'ã mba'e rohupyty opa ára ha opa rupi , nde Félix marangatu ete rupive , ha rohecha kuaa ndéve ore py'aite guive .
" Pero para no molestarle más , le suplico que , con su habitual bondad , nos conceda una breve audiencia .	Ani haguã rombo'are eterei , ajerure ndéve ore rendumi haguã .
Pues hemos descubierto que este hombre es verdaderamente una plaga , y que provoca disensiones entre todos los judíos por el mundo entero , y es líder de la secta de los nazarenos .	Rojuhu ko kuimba'e , ku mba'asy vaichaha , ha opa rupi ko yvy jerekuévo omyasãiha joavy Israel guáva apytépe , ha ha'e voi hína nasaréno aty ruvicha .
¡ Lo más grave es que intentó profanar nuestro templo ! Por eso lo aprehendimos , para juzgarlo conforme a nuestra ley ,	Ha'e omomarãse kuri Tupao , ha upévare ore pojái hese , ha rombojovake mo'ã ore rembiapoukapy he'iháicha .
pero intervino Lisias , el comandante , quien nos lo ha arrebatado por la fuerza	Mburuvicha Lisias katu oike ha oipe'a ore hegui mbaretépe ,
Puede averiguar la veracidad de nuestras acusaciones si lo interroga usted mismo » .	he'ívo umi omombe'úva chupe ou vaerãha ne rendápe . Nde voi ikatu reporandu chupe , reikuaa haguã añeteha opa umi ro'éva hese .
Con eso , los judíos también tomaron parte en el ataque , afirmando que estas cosas eran así .	Umi Israelgua upépe oĩva , he'i avei upéicha .
El gobernador le hizo entonces a Pablo señas de que hablara , y Pablo dijo : — Con mucho gusto presento mi defensa ante usted , porque sé que usted es juez de esta nación desde hace muchos años .	Pe sãmbyhyhára upérõ , ipópe he'i Páblope oñe'ẽ haguã , ha Pablo he'i : — Avy'aite añe'ẽtagui che jehe ne renondépe , aikuaágui nde reporombojovakeha ko tetãme are guivéma .
puesto que puedes averiguar en cuanto a mí que no hace más de doce días subí a Jerusalén a adorar ;	Ndete voi ikatu rejuhu , ojapoha 12 árante aguahẽ hague Jerusalénpe , amomba'e guasúvo Tupãme .
y nadie ha podido encontrarme enzarzado en discusiones con alguien en el Templo o promoviendo disturbios en las sinagogas o en las calles de la ciudad .	Ha ndajejuhúi hague añoñe'ẽ apívo avave ndive , térã amopu'ãvo sarambi Jerusalén pegua Tupaópe , térã judío kuéra tupaoha rupi térã ambue henda rupi táva ryepýpe .
No pueden presentarte prueba alguna de los cargos que me hacen .	Ko'ãva ndaikatúi ohechauka mba'eve umi che rehe ombojávagui .
Sin embargo , esto sí confieso : que adoro al Dios de nuestros antepasados siguiendo este Camino que mis acusadores llaman secta , pues estoy de acuerdo con todo lo que enseña la ley y creo lo que está escrito en los profetas .	Kóva katu areko ha'e vaerã : Ambojeroviaha Tupã che ru kuéra ypykue Járape , aikóvo Tape Pyahúre , ha'e kuéra ombohérava aty hekopegua'ỹ , aroviágui opa mba'e ojehai vaekue Tembiapoukapy ha Maranduhára kuéra kuatia ñe'ẽme .
Y tengo , lo mismo que ellos , la esperanza en Dios de que los muertos han de resucitar , tanto los buenos como los malos .	Ha ha'e kuéraicha avei ajerovia Tupãre , umi omano vaekue oikove jey vaerãha , taha'e imarangatúva , taha'e heko añáva .
Por esto , yo también me esfuerzo por conservar siempre una conciencia irreprensible delante de Dios y delante de los hombres .	Upévare añeha'ã mante che reko potĩvo Tupã ha yvypóra kuéra renondépe .
» Después de una ausencia de varios años , volví a Jerusalén para traerle donativos a mi pueblo y presentar ofrendas .	Are aiko rire ambue henda rupi , ajevy che retãme ame'ẽvo tupãmba'e ha arúvo che mba'e kuave'ẽ .
Y si no , que estos que están aquí digan qué delito me encontraron cuando comparecí ante el Consejo Supremo ;	Ỹrõ , umi oĩva ko'ápe te'i oimépa ajapo ra'e ivaíva aimérõ guare Israelguáva mbojovakehára aty renondépe .
a no ser por esta sola declaración que hice en alta voz mientras estaba entre ellos : " Por la resurrección de los muertos soy juzgado hoy ante vosotros . "	Ndaha'éirõ ko ha'e hatã vaekue ijapytépe kuéra : ‘ Ko árape peẽ pe che mbojovake aroviágui oĩha jeikove jey omanóva apytégui . ’
Entonces Félix , que conocía con bastante exactitud acerca del Camino , dejó el fallo para después , diciendo : " Cuando venga el comandante Lisias decidiré el caso de ustedes . "	Ohendúvo kóva Félix , oikuaa porãmava upe Tape Pyahu rehegua , ohejánte opa mba'e oĩháicha ha he'i chupe kuéra : — Ou vove mburuvicha Lisias , aikuaa porãvéta kóva rehegua .
Y dio órdenes al centurión de que guardara a Pablo bajo custodia , pero con alguna medida de libertad , y que no impidiera a ninguno de sus amigos que lo sirvieran .	Ha Félix he'i ñorãirõhára kuéra ruvichápe opytánte haguã gueteri Pablo iñembotypy , opáichavo toñembovevyive chupe , ha tojeheja iñirũ nguérape toñangareko hese .
Unos días más tarde llegó otra vez Félix , junto con Drusila , su esposa , que era judía . Y mandó Félix llamar a Pablo , y escuchó lo que este decía acerca de la fe en Jesucristo .	Mbovymi ára rire oguahẽ jey Félix hembireko Drusila , Israelguáva ndive . Ohenoika Páblope ohendu haguã chugui Jesucristo rehegua jerovia .
Y al disertar Pablo sobre la justicia , el dominio propio y el juicio venidero , Félix , atemorizado dijo : Vete por ahora , pero cuando tenga tiempo te mandaré llamar .	Pablo katu oñe'ẽ jeiko hekópe , ivaívagui jejoko , ha ñeporandu ñande rekovekuére ipahápe oiko vaerãre . Upérõ Félix oñemondýi ha he'i chupe : — Terehónte , ágã ijávo chéve rohenói jeýta .
Por otra parte , Félix esperaba que Pablo le diera dinero ; por eso lo llamaba muchas veces para hablar con él .	Félix oha'arõ avei Pablo ome'ẽ ramo guarã chupe viru , ha upévare ohenói jepi chupe oñe'ẽ haguã hendive .
Pero , cuando hubieron transcurrido dos años , Félix tuvo por sucesor a Porcio Festo ; y porque Félix deseaba ganarse el favor de los judíos , dejó a Pablo en cadenas .	Mokõi áño ohasa upéicha , ha Félix ojei sãmbyhyháragui . Hendaguépe oike Porcio Festo . Félix opyta porãségui Israelguáva ndive , oheja Páblope ñembotypy .
Festo llegó para tomar su puesto de gobernador , y tres días después se dirigió de Cesarea a Jerusalén .	Festo oguahẽ ojupi haguã sãmbyhyhárõ ha mbohapy ára haguépe oho Cesaréagui Jerusalénpe .
Y los principales sacerdotes y los judíos más influyentes le presentaron acusaciones contra Pablo , e instaban a Festo ,	Upépe pa'i ruvicha kuéra ha umi Israelgua ipoguasuvéva oho hendápe omoĩ vaívo Páblope .
como favor especial , que dispusiera el traslado de Pablo a Jerusalén , con la intención de preparar una emboscada y matarlo en el camino .	Ojerure hikuái chupe ñembojerovia poravo pyréicha , ogueruka haguã Páblope Jerusalénpe . Ha'e kuéra oguereko iñakãme ojukaukávo chupe tapépe .
Pero Festo respondió que Pablo estaba bajo custodia en Cesarea , y que en breve él mismo saldría para allá .	Festo katu he'i Pablo opytataha iñembotypy Cesaréape , ha ha'e voi ohotaha upépe vokói eténte .
Por tanto , dijo , que los más influyentes de vosotros vayan allá conmigo , y si hay algo malo en el hombre , que lo acusen .	He'i chupe kuéra : — Upévare , pende ruvicha kuérava oho vaerã che ndive Cesaréape , ha oime rire ramo pe kuimba'e ojapo ra'e ivaíva , upépe ikatúta peje hese .
Después de haberse quedado no más de ocho o diez días entre ellos , descendió a Cesarea , y al día siguiente se sentó en el tribunal y ordenó que trajeran a Pablo .	Festo opytave Jerusalénpe 8 térã 10 ára rupi , ha upéi ojevy Cesaréape . Upe ára ambuépe oñemoĩ pe mbojovakehára guapyhápe ha ogueruka Páblope .
Cuando Pablo llegó , lo rodearon los judíos que habían ido desde Jerusalén . Presentaron en su contra muchas y graves acusaciones , pero no pudieron probar ninguna .	Oikévo Pablo , umi Israelguáva oguahẽ vaekue Jerusaléngui oñemboja ha he'i hese heta mba'e ivai etereíva , ndaikatúiva jepe ohechauka añeteha .
Pablo se defendía : — No he cometido ninguna falta , ni contra la ley de los judíos ni contra el templo ni contra el emperador .	Pablo katu he'i ijehe : — Che ndajapói mba'eve ivaíva Israel guáva rembiapoukapýre térã Tupaóre térã Romagua mburuvicha pavẽre .
Entonces Festo , queriendo complacer a los judíos , le preguntó : — ¿ Estás dispuesto a ir a Jerusalén y ser juzgado ante mí allá ?	Festo katu opyta porãségui Israelguáva ndive , oporandu Páblope : — Rehosépa Jerusalénpe ikatu haguã rombojovake upépe?
Entonces Pablo respondió : " Ante el tribunal del César estoy , que es donde debo ser juzgado . Ningún agravio he hecho a los Judíos , como también usted muy bien sabe .	Pablo he'i chupe : — Aime hína Romagua mburuvicha pavẽ mbojovakehára renondépe , ha ko'ápe añembojovake vaerã . Reikuaa porãháicha ndajapói vaekue mba'eve ivaíva Israel guávare .
Si verdaderamente soy culpable y he cometido alguna acción que me haga reo de muerte , no me niego a morir . Pero si los cargos que se me hacen carecen de fundamento , nadie puede entregarme a los judíos . Apelo , pues , al emperador .	Ha oimérõ ajapo ra'e ivaíva ajejuka vaerãre , nambyasýi che rekove . Ndaipórirõ katu mba'eve hi'añetéva umi ombojávape hikuái che rehe , avave ndaikatúi che moĩvo ipópe kuéra . Ajerure che mbojovake haguã Romagua mburuvicha pavẽ voi .
Entonces Festo , después de hablar con la asamblea de consejeros , respondió : “ A César has apelado ; a César irás ” .	Upérõ Festo oporandu heko mbo'eha kuérape , ha upéi he'i : — Rejerure haguére ne mbojovake haguã Romagua mburuvicha pavẽ , rehóta hendápe .
Unos días más tarde el rey Agripa llegó con su hermana , Berenice , a presentar sus respetos a Festo .	Mbovymi ára rire , mburuvicha guasu Agripa ha Berenice oho Cesaréape omomaiteívo Féstope .
Como estuvieron allí varios días , Festo contó al rey el caso de Pablo . Le dijo : — Hay aquí un hombre que Félix dejó preso .	Hi'arégui upépe ára mbovymi , Festo omombe'u mburuvicha guasúpe upe Pablo reheguáva . He'i chupe : — Oĩ ko'ápe peteĩ kuimba'e Félix oheja vaekue iñembotypy .
acerca del cual , estando yo en Jerusalén , los principales sacerdotes y los ancianos de los Judíos presentaron acusaciones contra él , pidiendo sentencia condenatoria contra él .	Aimérõ guare Jerusalénpe , pa'i ruvicha kuéra ha Israelgua myakãhára kuéra , oñe'ẽ vai chéve hese ha ojerure ojejuka haguã .
Yo les respondí que no es costumbre de los Romanos entregar a un hombre sin que antes el acusado confronte a sus acusadores , y tenga la oportunidad de defenderse de los cargos .	Ha'e chupe kuéra Romagua mburuvicha kuérava , ndojepokuaaiha ojukaukávo avavépe , ombojovake mboyve chupe imombe'uhára ndive , ikatu haguã oñe'ẽ ijehe .
» Cuando los acusadores de Pablo llegaron aquí para el juicio , yo no me demoré . Convoqué al tribunal el día siguiente y di órdenes para que trajeran a Pablo ,	Upévare , ha'e kuéra oúvo ko'ápe , ambopuku'ỹre , upe ára ambuépe voi añemoĩ mbojovakehára guapyhápe ha aruka pe kuimba'épe .
Y levantándose los acusadores , presentaban acusaciones contra él , pero no de la clase de crímenes que yo suponía ,	Umi oúva omoĩ vai haguã chupe katu nde'íri hese mba'eve umi che aimo'ã vaekuégui .
Lo único que decían contra él eran cosas de su religión , y de un tal Jesús que murió y que Pablo dice que está vivo .	Umi mba'e jerovia imba'e kuérava rehegua añoite he'i hese : aipo Jesús omano vaekue ha Pablo he'ívare oikoveha gueteri .
Pero estando yo perplejo cómo investigar estas cuestiones , le pregunté si estaba dispuesto a ir a Jerusalén y ser juzgado de estas cosas allá .	Che ndaikuaáigui mba'épa ajapóta , aporandu Páblope ohosépa Jerusalénpe oñembojovake haguã ko'ã mba'ére .
Pero él ha pedido que lo juzgue Su Majestad el emperador , así que he ordenado que siga preso hasta que yo pueda mandárselo .	Ha'e katu ojerure ombojovake haguã chupe Romagua mburuvicha pavẽ . Upévare ha'e , opyta haguã iñembotypy ikatu peve amondo chupe .
Entonces Agripa II dijo a Festo : " A mí también me gustaría oír al hombre . " " Mañana lo oirás , " dijo Festo .	Upérõ Agripa he'i Féstope : — Che avei ahenduse ko kuimba'épe . Ha Festo he'i chupe : — Ko'ẽrõ rehendúta .
Así que al día siguiente , cuando Agripa II y Berenice entraron al auditorio en medio de gran pompa , acompañados por los comandantes y los hombres importantes de la ciudad , por orden de Festo , fue traído Pablo .	Upe ára ambuépe , Agripa ha Berenice oguahẽ ha oike tuicha jeguaka reheve upe koty guasúpe , umi mburuvicha ha karai guasu kuéra táva pegua ndive . Festo ogueruka Páblope ,
y dijo : — Rey Agripa y todos los presentes : Aquí tienen a este hombre . Todo el pueblo judío me ha presentado una demanda contra él , tanto en Jerusalén como aquí en Cesarea , pidiendo a gritos su muerte .	ha he'i : — Mburuvicha guasu Agripa ha karai kuéra peñembyatýva ko'ápe ore ndive : péina upépe pe kuimba'e . Opa Israelguáva oñe'ẽ vai chéve hese , taha'e Jerusalénpe , taha'e ko'a Cesaréape , ha ojerure manterei sapukaihápe ojejuka haguã .
" Pero a mí me parece que no ha hecho nada digno de muerte , pero como él mismo apeló al emperador ( Nerón ) , he decidido enviarlo a Roma .	Che katu ndajuhúi ojapo hague mba'eve ojejuka vaerãre . Opáichavo , ha'e voi ojerure haguére ombojovake haguã chupe Romagua mburuvicha pavẽ , añembopy'a peteĩ amondóvo chupe .
Sin embargo , no tengo nada definido sobre él para escribirle a mi señor . Por eso lo he traído ante ustedes , y especialmente ante ti , rey Agripa , para que después de que se le interrogue , yo tenga algo que escribir .	Ha ndarekóigui mba'eve ahai vaerã hese kuatiáre che ruvicha pavẽ Roma guápe , aru pene rendápe ha ne rendápe raẽvete , mburuvicha guasu Agripa , ikatu haguã reporandu rire chupe , areko ahai vaerã hese .
¡ Pues no tiene sentido enviarle un prisionero al emperador sin especificar los cargos que hay en su contra !	Hendapegua'ỹ vaicha niko chéve , arahauka peteĩ ipokuapýva , amombe'u'ỹre mba'épa oje'e hese .
Entonces Agripa le dijo a Pablo : « Puedes hablar en tu defensa . » Pablo hizo un ademán con la mano , e inició su defensa :	Upérõ Agripa he'i Páblope : — Ikatu reñe'ẽ nde jehe . Pablo omopu'ã ipo ha oñepyrũ oñe'ẽ kóicha :
— Rey Agripa : soy feliz al tener ocasión de defenderme hoy ante ti de todos los cargos que me imputan los judíos .	“ Avy'a ikatúgui añe'ẽ ne renondépe che ruvicha guasu Agripa , aipe'a haguã che jehegui umi Israelguáva omboja vaekue che rehe .
sobre todo , porque eres experto en todas las costumbres y controversias entre los judíos ; por lo cual te ruego que me escuches con paciencia .	Nde niko , che ruvicha guasu , reikuaa porã opa Israelguáva jepokuaa ha umi mba'e roñoñe'ẽ apiha . Upévare ajerure ndéve che rendu haguã pochy'ỹre .
Pues bien , todos los judíos conocen mi vida desde mi juventud , que desde el principio transcurrió entre los de mi pueblo y en Jerusalén ;	Opa Israelguáva oikuaa mba'éichapa aiko raka'e ijapytépe kuéra , che retãme ha Jerusalénpe , che mitã rusu guive .
puesto que ellos han sabido de mí desde hace mucho tiempo , si están dispuestos a testificar , que viví como fariseo , de acuerdo con la secta más estricta de nuestra religión .	Oikuaa avei , ha ikatu he'i he'isérõ , opa ára che hague fariséo , ha'éva upe aty ipohyivéva ñane mba'e jeroviápe .
¡ Y ahora me juzgan por mi esperanza en la promesa que Dios les hizo a nuestros padres !	Ha ko'ágã che reru hikuái añembojovakévo ajeroviágui upe ñe'ẽ Tupã ome'ẽ vaekuére ñande ru kuéra ypykuépe .
De hecho , esta es la razón por la cual las doce tribus de Israel adoran a Dios con celo día y noche , y participan de la misma esperanza que yo tengo . Aun así , Su Majestad , ¡ ellos me acusan por tener esta esperanza !	Umi 12 Israel ñemoñareguáva oha'arõ oikóvo ko ñe'ẽ ha upévare omomba'e guasu Tupãme ha ombyaje chupe ára ha pyharépe . Kóva ko jeroviáre avei , che ruvicha guasu Agripa , umi Israelguáva che moĩ vaise ko'ágã .
¿ Les parece a ustedes increíble que Dios resucite a los muertos ?	Mba'ére piko peẽ ndaperoviái Tupã omoingove jeyha omano vaekuépe?
Yo ciertamente había creído que debía hacer muchos males en contra del nombre de Jesús de Nazaret .	Che voi aimo'ã vaekue ymave ajapo vaerãha heta ivaíva Jesús Nazaretgua rérare ,
Así actué en Jerusalén , donde , autorizado por los jefes de los sacerdotes , encarcelé a muchos fieles y di mi voto para que los condenaran a muerte .	ha upéicha ajapo vaekue Jerusalénpe . Pa'i ruvicha kuéra he'i rupi chéve ikatuha , amoinge vaekue koty ypytũme heta Jesús reroviahápe , ha ojejuka ramo , che ha'e vaekue iporãha .
Castigándolos con frecuencia en todas las sinagogas , procuraba obligarlos a blasfemar , y enfurecido contra ellos , seguía persiguiéndolos aun hasta en las ciudades extranjeras .	Heta jey ainupãuka chupe kuéra opoi haguã ijeroviágui . Ha ko'ã mba'e ajapóva opa judío kuéra tupaoha rupi , ha che pochy etereígui hese kuéra , areko asy chupe kuéra umi tetã ambue rupi jepeve .
» Con amplios poderes en mi mano , y comisionado por los principales sacerdotes , iba yo una vez hacia Damasco ;	Upevarã aha vaekue hína táva Damáscope , che mondógui pa'i ruvicha kuéra .
al mediodía , oh rey , yendo de camino , vi una luz procedente del cielo más brillante que el sol , que resplandecía en torno mío y de los que viajaban conmigo .	Tapére katu , che ruvicha guasu , ahecha asaje pyte jave , peteĩ mba'e rendy yvágagui , imbaretevéva kuarahy rendýgui , omimbíva che ha che irũ nguéra jerekuévo .
Después de que todos caímos al suelo , oí una voz que me decía en el idioma Hebreo : ' Saulo , Saulo , ¿ por qué Me persigues ? Dura cosa te es dar coces contra el aguijón . '	Opavave ro'a yvýre , ha ahendu peteĩ he'íva chéve hebréo ñe'ẽme : ‘ Saulo , Saulo , mba'ére piko reñemoĩ che rehe? Nde jehe voi rejapo hína ivaíva , ku repyvoi ramo guáicha nde kutuha apỹire . ’
Yo entonces dije : " ¿ Quién eres , Señor ? " Y el Señor dijo : " Yo soy Jesús a quien tú persigues .	Upérõ ha'e : ‘ Máva piko nde , che Jára? ’ Ñandejára he'i chéve : ‘ Che hína Jesús upe nde reñemoĩha reikóvo .
Ahora , ¡ levántate ! Pues me aparecí ante ti para designarte como mi siervo y testigo . Deberás contarle al mundo lo que has visto y lo que te mostraré en el futuro .	Epu'ã katu eñembo'y , péina ajechauka ndéve roiporavógui reiko haguã che rembiguáirõ , ha umi ko'ágã rehecha vaekue ha umi rehechavétava rechahavérõ .
Yo te libraré del pueblo judío y también de las naciones extranjeras , a las que he de enviarte	Roipe'áta umi Israelguáva ha avei umi Israelgua'ỹva ko'ágã romondoha pógui .
para que les abras los ojos , a fin de que pasen de la oscuridad a la luz , y del poder de Satanás a Dios . Entonces recibirán el perdón de sus pecados y se les dará un lugar entre el pueblo de Dios , el cual es apartado por la fe en mí ” .	Romondo hendápe kuéra rehesape'a haguã , ha anive oiko pytũmbýpe , tesape rendýpe uvei , ha reipe'a haguã chupe kuéra Sataná poguýgui , oiko haguã Tupã ndive uvei . Ha ojerovia haguã che rehe , ha oñepysyrõ haguã iñangaipágui upéicha ohupyty haguã imba'erãva umi Tupã mba'éva apytépe . ’ ”
» Por eso , rey Agripa , no desobedecí esa visión celestial ,	Aipórõ , che ruvicha guasu Agripa , che ñe'ẽ rendu pe jechauka yvágagui oúvape ,
Primero les prediqué a los de Damasco , luego en Jerusalén y por toda Judea , y también a los gentiles : que todos tienen que arrepentirse de sus pecados y volver a Dios , y demostrar que han cambiado , por medio de las cosas buenas que hacen .	ha ahenduka upe ñe'ẽ umi Damasco guápe raẽvete , ha opa umi Jerusalén ha Judea guápe , avei umi Israelgua'ỹvape , ahenóivo ojere ha ojevy haguã Tupã gotyo , ha ohechauka haguã hembiapo rupi ojevy hague .
Unos judíos me arrestaron en el templo por predicar esto y trataron de matarme ;	Upévare umi Israelguáva ipojái che rehe Tupaópe ha che jukase mo'ã .
Pero Dios me ha ayudado hasta hoy , y así me mantengo firme , testificando a grandes y pequeños . No he dicho sino lo que los profetas y Moisés ya dijeron que sucedería :	Ha Tupã che pytyvõ rupi , aime hatã ko'ágã peve , añe'ẽvo Tupãre opavavépe , michĩva ha tuichávape . Nda'éi chupe kuéra mba'eve he'i'ỹ vaekue oiko vaerãha maranduhára kuéra ha Moisés .
que el Cristo había de padecer , y que por motivo de su resurrección de entre los muertos , El debía ser el primero en proclamar luz tanto al pueblo judío como a los gentiles .	Upe Mesías omano vaerã hague , ha omano rire ha'e raẽvete oikove jey vaerã hague ha omyerakuã vaerã hague pe mba'e rendy , pysyrõ rehegua , ñane retã guápe ha ambue tetã guápe avei . ”
De repente Festo gritó : — Pablo , estás loco . ¡ Tanto estudio te ha llevado a la locura !	He'ívo Pablo ko'ã mba'e ijehe , Festo osapukái . — Nde tarova niko nde , Pablo! Remomba'apo itereígui ne apytu'ũ , reju nde tarova!
Pero Pablo contestó : — No estoy loco , excelentísimo Festo ; al contrario , lo que digo es razonable y es la verdad .	Pablo katu he'i : — Nda che tarovái niko , nde Festo marangatu ete . Upe ha'éva niko hekopegua ha añete .
El rey está familiarizado con estas cosas , y por eso hablo ante él con tanto atrevimiento . Estoy convencido de que nada de esto ignora , porque no sucedió en un rincón .	Ápe oĩ hína mburuvicha guasu Agripa oikuaa porãva ko'ã mba'e , ha upévare añe'ẽ kyhyje'ỹre henondépe , aikuaa porãgui ha'e avei oikuaaha opa ko'ã mba'e , ndaha'éi niko mba'e ojehu vaekue peteĩ yvy paha ruguápe .
¿ Crees tú , rey Agripa , a los Profetas ? Yo sé que crees ” .	Reroviápa , che ruvicha guasu , umi he'i vaekue maranduhára kuéra? Che aikuaa reroviaha .
— ¡ Por poco me convences para que me haga cristiano ! — contestó Agripa .	Agripa he'i chupe : — Pya'e eterei niko rejapose che hegui Cristo reroviaha!
— ¡ Por poco o por mucho — respondió Pablo — , ruego a Dios que no solo tú , sino todos los que hoy me escuchan , lleguen a ser lo que yo soy , a excepción de estas cadenas !	Pablo he'i : — Taha'e pya'e térã kurive , Tupã nga'u oipota na nde añói , che ruvicha guasu , opa ko'ápe che rendúva hína avei katu , oiko chéicha , anínte ko'ã kadéna ipóre .
Se levantó el rey , y también el gobernador , Berenice y los que estaban sentados con ellos .	Upérõ opu'ã mburuvicha guasu ha avei upe sãmbyhyhára , Berenice ha opa umi oguapýva ndive ,
y mientras se retiraban , hablaban entre sí , diciendo : " Este hombre no ha hecho nada que merezca muerte o prisión . "	ha oho ha'e kuéra ha'eñoháme oñe'ẽvo ko mba'ére . He'i hikuái ojupe : — Ko kuimba'e ndojapói mba'eve ojejuka vaerãre , térã ojeguereko haguã iñembotypy jepe .
